,Anio,Mes,Semana,Hora,Viajes,Viajes_M,Viajes_F,Edad_Usuario,Duracion
205,2011,2,9,12,371,275.0,96.0,35.34231805929919,12.000673854447433
206,2011,2,9,13,543,398.0,145.0,34.48066298342541,11.8720380601596
207,2011,2,9,14,726,570.0,156.0,33.87741046831956,11.102731864095498
208,2011,2,9,15,783,595.0,188.0,34.043422733077904,11.333375904640265
209,2011,2,9,16,637,484.0,153.0,34.03767660910518,11.812140240711663
210,2011,2,9,17,561,419.0,142.0,34.294117647058826,11.656981580510989
211,2011,2,9,18,855,601.0,254.0,32.8187134502924,11.467797270955177
212,2011,2,9,19,840,585.0,255.0,32.24047619047619,11.733829365079375
213,2011,2,9,20,614,448.0,166.0,32.767100977198695,11.46492942453854
214,2011,2,9,21,419,330.0,89.0,32.41527446300716,10.460023866348457
215,2011,2,9,22,277,219.0,58.0,32.30685920577617,10.6985559566787
216,2011,2,9,23,101,85.0,16.0,31.099009900990097,8.310066006600657
217,2011,3,9,0,278,213.0,65.0,31.384892086330936,12.794124700239818
218,2011,3,9,1,5,4.0,1.0,32.4,43.18666666666666
219,2011,3,9,6,435,335.0,100.0,34.46896551724138,7.575977011494251
220,2011,3,9,7,1319,971.0,348.0,34.81046247156937,8.382461460702556
221,2011,3,9,8,3139,2264.0,875.0,33.88435807582032,9.29047998300944
222,2011,3,9,9,3717,2750.0,967.0,33.94269572235674,10.27706483723433
223,2011,3,9,10,2446,1771.0,675.0,34.27473426001635,12.084396293267915
224,2011,3,9,11,2485,1818.0,667.0,34.925553319919516,13.726123407109343
225,2011,3,9,12,2732,2006.0,726.0,34.78477306002928,14.797376769155694
226,2011,3,9,13,3256,2339.0,917.0,34.139127764127764,14.393391687141673
227,2011,3,9,14,4133,3042.0,1091.0,33.83038954754416,12.586559399951586
228,2011,3,9,15,4014,2980.0,1034.0,33.75336322869955,12.579480152798533
229,2011,3,9,16,3558,2611.0,947.0,33.70826306913997,12.783989132471435
230,2011,3,9,17,3132,2257.0,875.0,33.8544061302682,12.989798850574722
231,2011,3,9,18,3998,2845.0,1153.0,33.152826413206604,12.004022844755744
232,2011,3,9,19,3803,2739.0,1064.0,32.62187746515909,12.457787711455873
233,2011,3,9,20,2605,1942.0,663.0,32.537044145873324,12.586833013435669
234,2011,3,9,21,1866,1394.0,472.0,32.747052518756696,11.717684887459788
235,2011,3,9,22,1202,945.0,257.0,31.896006655574045,11.646283971159175
236,2011,3,9,23,711,551.0,160.0,31.338959212376935,11.06608063759964
237,2011,3,10,0,270,211.0,59.0,31.381481481481483,13.41512345679012
238,2011,3,10,1,8,6.0,2.0,30.625,54.29375
239,2011,3,10,6,480,379.0,101.0,34.40208333333333,6.8789583333333395
240,2011,3,10,7,1763,1269.0,494.0,34.893930799773116,8.601465305350745
241,2011,3,10,8,3813,2808.0,1005.0,34.03933910306845,9.408798846052973
242,2011,3,10,9,4373,3248.0,1125.0,33.52549737022639,9.926736031709767
243,2011,3,10,10,2898,2118.0,780.0,34.74568668046929,11.90313434552565
244,2011,3,10,11,2826,2019.0,807.0,34.9242745930644,13.72973578674214
245,2011,3,10,12,3061,2198.0,863.0,34.79451159751715,14.70076772296634
246,2011,3,10,13,3758,2736.0,1022.0,34.30734433209154,14.544048252616689
247,2011,3,10,14,4939,3655.0,1284.0,33.602146183437945,12.186309644327444
248,2011,3,10,15,4899,3666.0,1233.0,33.87670953255766,12.228900455875342
249,2011,3,10,16,4269,3143.0,1126.0,34.23940032794565,12.310517685640646
250,2011,3,10,17,3659,2649.0,1010.0,33.188576113692264,12.587519358659012
251,2011,3,10,18,5172,3707.0,1465.0,33.01295436968291,11.962535447280228
252,2011,3,10,19,4752,3433.0,1319.0,32.88510101010101,12.26331018518519
253,2011,3,10,20,3323,2435.0,888.0,32.364429732169725,12.416501153576087
254,2011,3,10,21,2584,1924.0,660.0,32.3343653250774,11.79694272445821
255,2011,3,10,22,1666,1290.0,376.0,31.810924369747898,11.202621048419365
256,2011,3,10,23,778,605.0,173.0,31.898457583547557,11.497879177377879
257,2011,3,11,0,285,210.0,75.0,31.343859649122805,13.457953216374264
258,2011,3,11,1,14,9.0,5.0,27.357142857142858,51.959523809523816
259,2011,3,11,6,463,367.0,96.0,35.259179265658744,7.110079193664509
260,2011,3,11,7,1672,1224.0,448.0,34.788277511961724,8.203448963317381
261,2011,3,11,8,3855,2815.0,1040.0,33.77665369649805,9.048984003458719
262,2011,3,11,9,4188,3141.0,1047.0,33.348615090735436,9.833142311365794
263,2011,3,11,10,2825,2102.0,723.0,34.67185840707965,11.438902654867258
264,2011,3,11,11,2759,1991.0,768.0,34.78252990213846,13.002657967862735
265,2011,3,11,12,3096,2236.0,860.0,34.52325581395349,13.702508613264401
266,2011,3,11,13,3535,2585.0,950.0,34.43366336633663,13.93636020744929
267,2011,3,11,14,4798,3538.0,1260.0,33.99145477282201,12.360226483256882
268,2011,3,11,15,4782,3513.0,1269.0,33.48745294855709,12.304663320786275
269,2011,3,11,16,4106,3012.0,1094.0,33.59035557720409,12.233796070790723
270,2011,3,11,17,3507,2568.0,939.0,33.56372968349016,12.54575135443396
271,2011,3,11,18,4930,3510.0,1420.0,32.78600405679513,12.110567951318462
272,2011,3,11,19,4230,3096.0,1134.0,32.80709219858156,11.997955082742305
273,2011,3,11,20,3175,2316.0,859.0,32.55527559055118,12.424671916010492
274,2011,3,11,21,2283,1699.0,584.0,32.29172141918528,11.668878668418742
275,2011,3,11,22,1542,1200.0,342.0,32.23800259403372,11.518082576740165
276,2011,3,11,23,823,652.0,171.0,32.109356014580804,11.099878493317123
277,2011,3,12,0,286,221.0,65.0,31.433566433566433,12.543589743589747
278,2011,3,12,1,9,9.0,,27.77777777777778,45.81481481481481
279,2011,3,12,6,447,332.0,115.0,34.22818791946309,6.846495152870997
280,2011,3,12,7,1366,984.0,382.0,34.97657393850659,8.531966813079553
281,2011,3,12,8,3348,2419.0,929.0,34.03076463560335,9.323860015929908
282,2011,3,12,9,3768,2784.0,984.0,33.70567940552017,10.215366242038199
283,2011,3,12,10,2710,1960.0,750.0,34.58191881918819,11.965319803198046
284,2011,3,12,11,2691,1932.0,759.0,34.84986993682646,13.278520995912295
285,2011,3,12,12,3038,2157.0,881.0,34.9476629361422,14.53338270792188
286,2011,3,12,13,3508,2505.0,1003.0,34.44982896237172,14.408566134549615
287,2011,3,12,14,4575,3361.0,1214.0,33.80087431693989,12.55051001821492
288,2011,3,12,15,4277,3121.0,1156.0,33.56745382277297,12.79873743277997
289,2011,3,12,16,3991,2877.0,1114.0,33.30794287146079,12.78041008936773
290,2011,3,12,17,3459,2433.0,1026.0,33.64671870482798,12.580620603257215
291,2011,3,12,18,4559,3226.0,1333.0,32.87036630840097,12.573166630108958
292,2011,3,12,19,4353,3122.0,1231.0,32.57178957041121,12.611126426219492
293,2011,3,12,20,3098,2263.0,835.0,32.42059393156875,12.792834086507435
294,2011,3,12,21,2530,1832.0,698.0,32.35494071146245,12.695415019762837
295,2011,3,12,22,1583,1172.0,411.0,32.10170562223626,13.124184038744994
296,2011,3,12,23,796,618.0,178.0,31.39572864321608,12.078245393634834
297,2011,3,13,0,153,123.0,30.0,30.96732026143791,11.71677559912854
298,2011,3,13,1,3,3.0,,37.666666666666664,48.22777777777778
299,2011,3,13,6,432,320.0,112.0,34.673611111111114,6.951466049382712
300,2011,3,13,7,1330,965.0,365.0,34.46766917293233,8.369348370927314
301,2011,3,13,8,3140,2304.0,836.0,33.63726114649682,9.09279193205943
302,2011,3,13,9,3325,2486.0,839.0,33.461052631578944,9.562205513784471
303,2011,3,13,10,2050,1511.0,539.0,34.612682926829265,10.786512195121958
304,2011,3,13,11,1698,1297.0,401.0,34.78857479387515,11.08903612092659
305,2011,3,13,12,1827,1382.0,445.0,34.566502463054185,11.267058930852011
306,2011,3,13,13,2146,1673.0,473.0,34.66961789375583,10.869617893755814
307,2011,3,13,14,3288,2493.0,795.0,33.89933090024331,10.946624087591225
308,2011,3,13,15,3247,2428.0,819.0,33.389282414536495,11.503059234164835
309,2011,3,13,16,2743,2055.0,688.0,34.10098432373314,11.293948231862935
310,2011,3,13,17,2362,1739.0,623.0,33.769686706181204,11.933051086649725
311,2011,3,13,18,3563,2572.0,991.0,33.014875105248386,11.496533819814749
312,2011,3,13,19,3587,2582.0,1005.0,32.799275160301086,12.231419013102842
313,2011,3,13,20,2610,1886.0,724.0,32.42605363984674,11.82583652618135
314,2011,3,13,21,1797,1331.0,466.0,32.3322203672788,11.482999443516972
315,2011,3,13,22,1179,876.0,303.0,32.08566581849025,11.579770992366422
316,2011,3,13,23,530,401.0,129.0,32.594339622641506,11.951132075471698
317,2011,4,13,0,169,131.0,38.0,31.532544378698226,11.968441814595666
318,2011,4,13,1,2,2.0,,32.0,54.991666666666674
319,2011,4,13,6,131,107.0,24.0,35.099236641221374,8.045674300254452
320,2011,4,13,7,394,281.0,113.0,35.42893401015228,8.40033840947547
321,2011,4,13,8,1003,703.0,300.0,34.589232303090725,9.91829511465604
322,2011,4,13,9,1147,856.0,291.0,34.36791630340017,10.177172333623952
323,2011,4,13,10,1014,712.0,302.0,35.0138067061144,13.151347797501645
324,2011,4,13,11,1142,804.0,338.0,34.08756567425569,15.703312901342658
